Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
13CP037987,P004077273|P004077365|P004077366|P004077367|P004077368|P004077369,05/02/2013,POLICE,07/05/2013 09:00:00 AM,5406 S PAULINA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK AND TRUST, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79556149394429,-87.66720373953055,POINT (-87.66720373953055 41.79556149394429)
15CP009714,P004329751|P004330021|P004330022|P004330023|P004330024|P004330025,12/01/2014,POLICE,02/06/2015 01:00:00 PM,528 E 45TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.81318416394634,-87.61278825312351,POINT (-87.61278825312351 41.81318416394634)
14CP038060,P004438662|P004438663,04/01/2014,POLICE,05/02/2014 01:00:00 PM,122 N KEYSTONE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.88279809124942,-87.7273013528236,POINT (-87.7273013528236 41.88279809124942)
11CP006254,P002509343|P002509345|P002509347,01/13/2011,POLICE,03/04/2011 09:00:00 AM,5128 S MARSHIELD ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"LITTON LOAN SERVICING, ",Default - Liable by prove-up,1300.00,0.00,205.54,377.88,46.09,1969.51,2153.03,-183.52,,,
18CP057164,P005602644|P005602645|P005603141|P005603142|P005603143|P005603144,06/09/2018,POLICE,08/03/2018 09:00:00 AM,5940 S CAMPBELL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"MIDFIRST BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78529921708261,-87.68639380122754,POINT (-87.68639380122754 41.78529921708261)
14CP032585,P004232343|P004232344|P004232345|P004232346|P004232347|P004232375,03/04/2014,POLICE,05/02/2014 09:00:00 AM,5334 S WOOD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"MIDFIRST BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79658233908316,-87.66966264302674,POINT (-87.66966264302674 41.79658233908316)
16CP062186,P004989719|P004989720|P004989721|P004989722|P004989723|P004989724,05/31/2016,POLICE,08/05/2016 09:00:00 AM,5356 S MARSHFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"FANNIE MAE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79598453087405,-87.66599941206552,POINT (-87.66599941206552 41.79598453087405)
13CP084833,P003917028|P003917029|P003917030|P003917031|P003917032|P004321900,09/17/2013,POLICE,11/01/2013 09:00:00 AM,6430 S MAPLEWOOD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77644290627939,-87.68737415565417,POINT (-87.68737415565417 41.77644290627939)
18CP087849,P005750106|P005750107|P005750108|P005750109|P005750110|P005750111,10/04/2018,POLICE,12/07/2018 09:00:00 AM,6333 S MAPLEWOOD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"FANNIE MAE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77818024437352,-87.68712891115561,POINT (-87.68712891115561 41.77818024437352)
14CP006185,P004229177|P004229178|P004229179|P004229180|P004229182|P004229183,01/13/2014,POLICE,03/07/2014 09:00:00 AM,5426 S JUSTINE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK AND TRUST, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.795042839514025,-87.66354469158462,POINT (-87.66354469158462 41.795042839514025)
