,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1
District_17,-0.47680326813480123,-0.44509832700534424,-0.43375115714739987,-0.3932008454572107,-0.43692651120657705,-0.40631575281717414,-0.4222285868492688,-0.4837246112844628,-0.5574823052619254,-0.5491092604541143,-0.4774390425208256,-0.4611490351052321,-0.40453489573900114,-0.38553595154849596,-0.49341350448960836,-0.483165876001456,-0.4227132690545583,-0.4495593563050484,-0.5043416672312806,-0.508070314743908,-0.5415180985609452
District_18,-0.3921120373380529,-0.39421993044485126,-0.3616669073624951,-0.35825410845790084,-0.3804188584083526,-0.35911280249395894,-0.33950035314557514,-0.36382791534363684,-0.35704401981540024,-0.409484504668474,-0.37846449338410026,-0.3642716469186278,-0.3612884398417089,-0.41078389900243195,-0.44896807502884695,-0.39931535202774554,-0.3718398059321823,-0.3621997938539915,-0.41614505099253984,-0.39317138362462006,-0.44906234974218867
District_19,-0.28210774071788713,-0.23465823232618138,-0.21095628349348744,-0.11474308569533449,-0.19315817559741327,-0.18426812317734598,-0.17138017627100544,-0.18175911441059545,-0.2653924973144691,-0.2482481484158767,-0.2744491929054339,-0.25468708994491984,-0.23187923811691036,-0.2549739236273796,-0.3170994516485783,-0.20906522663992907,-0.21996040465887506,-0.23680125349676512,-0.2588127839229116,-0.22732081785215352,-0.26369759755298905
District_20,-0.15931900770541985,-0.16472621597634998,-0.14594235072986683,-0.08431002031032847,-0.08616016051647496,-0.05974795712758141,-0.05055677013713655,0.019760908254126613,-0.08624893366885741,-0.10488575966352219,-0.14425782198854098,-0.10571700447681882,-0.11451729564784863,-0.14563303665392358,-0.18880483644669377,-0.1580132275651288,-0.15070460703915664,-0.12572678157829115,-0.18711295698032868,-0.14986243032848587,-0.18761486244240924
District_21,-0.08532978901666244,-0.16827601951641244,-0.1642477157238694,-0.1089971900595828,-0.08283405055973882,-0.10009553379930214,-0.13568175294993434,-0.17808572647156437,-0.1940232264072629,-0.19256986526275294,-0.08090449201959565,-0.05783193445068809,-0.04648815345563584,-0.11668728801571326,-0.13479544837041513,-0.08100092106706908,-0.08106746427414153,-0.12116035268922776,-0.15061863474089007,-0.1242063010230181,-0.16804224242329027
District_22,-0.23826282439739546,-0.2553573248737416,-0.22261767931224907,-0.1605613849156641,-0.19838869107915857,-0.17430430886015102,-0.1867474483714826,-0.1967221125775386,-0.24275294112402374,-0.2076918031219736,-0.2061792111610516,-0.17727482603617115,-0.19856773525134752,-0.21488722690391082,-0.28944225872477986,-0.22469491811136078,-0.2380208021055244,-0.1906943711186031,-0.2618268039550716,-0.2483082416509074,-0.2970178890883761
District_23,-0.28555668325270656,-0.28944471112488046,-0.26492928201326277,-0.2539926148878038,-0.28371274481720876,-0.2547407106032251,-0.2282679179921887,-0.2986053204542626,-0.368853889950321,-0.34190437804520696,-0.35427475714935236,-0.29367583896096305,-0.28026573876774297,-0.3277497959186082,-0.34000646976152304,-0.2965523268851155,-0.28969412167449843,-0.25835512912634506,-0.3427728301171928,-0.3325297714811079,-0.34773818266419715
District_27,-0.37454516587508957,-0.3877174096334857,-0.32742499905084244,-0.2508874655076323,-0.3272743982051555,-0.2911302560249478,-0.2912105559693332,-0.35935161105031843,-0.49606500506868323,-0.44804656663332576,-0.47357860291508447,-0.43847226600310774,-0.3871224776863871,-0.39784211853636897,-0.4560038002167387,-0.4299628706132731,-0.42056420976514586,-0.43445274115253607,-0.4605210693376619,-0.4567639765567295,-0.5130921114403197
District_28,-0.41434898471441073,-0.3865444053959952,-0.3777012701737259,-0.3701821816361782,-0.4268163909881541,-0.30134554156484494,-0.34060126998085405,-0.3201708232716895,-0.40908793805223626,-0.44511737590667355,-0.35164254609154605,-0.32079980126171087,-0.36682717285688593,-0.43325219742796417,-0.45843324545241093,-0.40416012366407233,-0.3584820758344579,-0.24670160068023428,-0.2951254732817346,-0.28035007917516586,-0.3778770835169343
District_other,-0.22284402729176622,-0.325752362351132,-0.3106913141300911,-0.281371492266783,-0.2667975042851674,-0.2691206416614147,-0.2801577003785747,-0.31635783801912504,-0.3584079421036688,-0.41359344079765137,-0.4335023824476517,-0.38760243578375786,-0.3412788297485676,-0.3605324455674461,-0.4242932647695821,-0.4188494616426193,-0.367538818261834,-0.4123389218431299,-0.39739299512998805,-0.38231457940356084,-0.4330434316672457
SaleType_Resale,-0.23767702423541331,-0.19112563661830395,-0.20009305193405796,-0.1805231494226134,-0.19930230039191552,-0.22422703174041805,-0.22014678113479808,-0.22222370156799798,-0.24987549322403424,-0.33125930412583915,-0.21050843921059229,-0.27634171974394645,-0.28678457062488927,-0.3294955384176807,-0.32195780144367786,-0.31670771135896736,-0.3125213641598164,-0.3027438454230682,-0.3289771264581519,-0.33511026994126203,-0.3291337094317939
SaleType_Sub Sale,-0.05803658753278723,-0.07077849014970695,-0.12019898803190618,-0.11051261869966424,-0.09283424142877422,-0.06183887231913786,-0.06885867990380812,-0.01898261982043733,-0.06613924799846296,-0.12304650854498614,-0.026600201919385388,-0.07102741473765586,-0.09874260582924033,-0.06386190832591523,-0.001431736003476916,-0.06925849858102938,-0.09570421024693157,-0.05669234645680843,-0.06333585056023705,-0.06809880613647458,0.005435171478555303
pvalue_const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pvalue_log_area_sqft,1.124130686786282e-74,1.0324935426531842e-153,3.557373284668909e-232,4.3882574397921013e-122,6.8231498731768e-179,9.812676843671629e-211,1.4725131251339616e-188,4.45583758072188e-108,3.229354150126071e-86,6.936547144433932e-127,8.526786424954065e-138,4.840718677482394e-90,4.540126201343117e-70,2.3647361832994726e-70,9.754288325309547e-85,2.629772251742681e-81,9.576109546844379e-61,5.104928584957515e-56,3.663783490406393e-183,2.4320629475016614e-163,3.2923884142285213e-44
pvalue_Type_Condominium,3.5511271236186863e-12,1.167946267283707e-37,4.490386141921725e-56,4.1485990309643694e-40,0.007509497445969986,3.325463192799989e-14,2.260317558841523e-17,9.752361588829077e-27,5.863610004552245e-27,1.5593557147337124e-61,8.653990318485733e-67,6.429333948002575e-33,5.51601952649596e-21,6.145538404625096e-52,1.0968082272406127e-46,5.8801294138813986e-27,1.0201026429467188e-35,4.4702101123397485e-09,1.1010498648898602e-44,7.327109868508581e-47,1.0924531454708694e-24
pvalue_Building_age,3.588410914513989e-15,5.2818799136457306e-24,8.728456914051503e-25,2.5371827229052323e-22,1.025929014191014e-34,2.3175916687488845e-31,1.8588561954903459e-38,5.596274113704219e-37,5.6992345588987395e-25,2.3246976460749244e-25,1.1281554473439788e-44,2.3876711048497338e-27,2.9054955876994526e-13,2.3511009516192762e-14,2.6223209856588684e-30,7.762364152312783e-27,1.1461095616164742e-27,6.32107535955616e-18,5.1617264898554456e-30,1.4558444131644103e-60,3.847371563581003e-26
pvalue_Relative_tenure,3.959115766588869e-99,8.16790912530704e-146,2.8241519838344616e-154,8.076602659445565e-110,1.2934256313013274e-112,7.743903857324265e-242,6.198387602029027e-218,7.870923998406818e-233,9.69140496892777e-157,3.0169372445950976e-220,6.201442951574924e-181,4.81352209823921e-100,7.573313607990702e-105,8.16183144262562e-157,4.885505285101637e-193,8.467312187232897e-130,3.39671771933972e-117,1.437626257370501e-85,3.771774926832758e-279,3.2092765817276336e-298,3.4848103592065696e-101
pvalue_Floor_number,1.392408030780158e-48,1.2088122024299618e-111,6.021247591171034e-67,3.347801952420847e-70,1.9516185728154014e-97,6.736349997519368e-138,1.7809712110544583e-126,3.224478011199853e-93,1.9231870577642893e-39,8.790398785392499e-61,9.14658308913825e-53,1.7868554603699357e-26,2.7011095536011486e-65,3.309437562863041e-64,4.64562211545763e-82,2.3076438348588426e-60,1.0863144557666054e-62,8.931806815362676e-37,1.7772850106408248e-74,6.315190939172446e-112,8.0105384682543e-32
pvalue_District_1,6.593814441893893e-20,4.104962254176953e-19,1.0066651636837557e-43,2.0898826469161323e-30,6.519954791347092e-21,3.775333635843879e-37,2.7941781083151696e-42,2.2378824581503155e-36,8.567346672152439e-36,1.9500264689159006e-64,7.103069856826357e-113,7.098872063566979e-42,3.722888340933048e-33,2.4864338434486024e-32,1.7701766552566062e-34,6.079511586154876e-118,2.4342583004080413e-129,3.4592710636862666e-93,2.2051767579140954e-98,5.2518679807106445e-52,6.16036553171544e-17
pvalue_District_2,4.8568715919509974e-05,1.1862754416713905e-07,8.844916049492089e-14,1.0865109448871962e-18,3.0907018413593003e-13,1.829425369877048e-27,1.470174314273012e-56,9.275557864409081e-32,7.776904840638708e-21,4.4352915421586835e-43,2.990146535030238e-40,1.930403915374474e-26,7.592673735067836e-12,4.6967090897864715e-14,3.4852595599943426e-16,1.2948572158615704e-18,1.0429768677185005e-21,2.4867177325425232e-05,7.20945111215768e-29,1.6369208803114733e-12,0.0007418654985328469
pvalue_District_4,1.336253367970222e-10,4.0873254586794576e-16,4.0092813999283446e-05,6.40031911341704e-23,7.027208244313416e-25,3.4476607369695356e-35,2.3995115141586487e-28,1.6777263424200142e-35,1.2520454405741178e-08,1.6979145590714624e-07,2.254056708804963e-14,8.272864069004298e-08,1.6562356324180758e-06,9.073657785067682e-09,9.566892927224717e-18,1.9848738023296414e-21,6.26883964028214e-17,0.0001480140336188004,4.287837661694024e-08,2.7528039893891297e-11,0.14594793130278236
pvalue_District_5,2.86319613056794e-14,1.54916534395457e-29,5.8531504431347314e-24,3.173590311019177e-74,8.946027621013255e-118,3.538254746120578e-122,3.515147573756973e-51,9.405126412645617e-57,1.1134094169214468e-48,4.259543197886595e-122,9.17536122028971e-24,4.7630582384823556e-48,5.69323867552189e-26,1.8170421476076162e-40,1.0308375815038663e-167,2.648967488938434e-46,7.127193351321762e-30,6.148600768282437e-47,9.148569085073093e-98,8.927506666358632e-147,1.3352314556197977e-47
pvalue_District_7,0.0002802098070411583,0.3388975497285738,3.7693805379123585e-06,0.000153666832432187,0.9778904143948235,0.00020699569247631334,0.0021864469767419376,2.3427707852352082e-09,2.8230066365260146e-07,5.708389021167058e-11,2.416827735784065e-38,4.092224491573389e-136,7.130361830980474e-55,2.6063364289382713e-101,5.451966317544239e-62,8.106722940904023e-79,1.3896447580632682e-64,9.117916445862475e-19,1.0585904263035903e-17,4.2821023070177605e-16,1.4680398770415425e-09
pvalue_District_8,0.0494800384255412,7.78734995232983e-14,0.00039797347210358076,0.27126378663652284,1.2704486867607046e-06,1.4766832886911745e-07,5.172840333099205e-07,1.3614550616060892e-07,3.3988013352065545e-12,6.1997418126752e-12,9.897406879027263e-06,0.0016535706402773058,0.012419555852081461,1.6826266344381674e-05,7.183184056955027e-10,8.62021776819887e-06,8.744976546717681e-05,0.21019375126848747,8.591976396637775e-13,3.994552543395234e-14,3.131184266324778e-08
pvalue_District_9,2.7614906984889792e-59,7.573032645586248e-159,1.2137296015229871e-143,2.1076119356545704e-206,7.386155559795772e-175,1.7329353089468499e-214,1.979676925904661e-173,9.620339010992081e-107,4.4362709474783365e-125,9.6325930989443e-113,2.1064777417931546e-203,1.42330734784332e-134,8.419912166503886e-117,4.903650835987171e-95,9.42702140470566e-108,1.6984734465430002e-110,7.789731973858932e-83,1.3707800856034793e-65,1.7349973878649492e-65,4.2695934981422045e-84,4.261007718828191e-27
pvalue_District_10,2.3364068930009897e-30,1.0183026409966602e-104,5.45728431739922e-70,2.0816582844257184e-113,1.961242935225206e-118,2.3822066122442607e-219,2.990961510036564e-169,9.180264277579785e-91,1.2110208147945496e-52,3.641448118795569e-71,1.937106317312108e-39,2.6133937098679016e-66,4.828955829472622e-79,4.170147362436021e-103,2.6170102559757257e-107,2.0391499766428282e-101,2.99993670840039e-57,2.1349583816764006e-47,1.2963032049390726e-39,3.9232112069534815e-51,5.6606894141990385e-12
pvalue_District_11,0.0009243467727244485,0.0350466297918354,1.3491099501356036e-06,1.0596375473114994e-17,2.994681435342439e-12,1.3607592962776403e-25,1.1824806905954828e-16,1.3819656764205072e-31,0.0016834907821300627,2.181802630274082e-06,2.5605541056122504e-08,0.00011565015165720745,3.804112083499245e-05,0.28117842980031654,0.2130293140496662,5.355125286450547e-13,1.2927234312808654e-06,2.524235494459499e-06,0.00589439853794749,0.011492512842862457,0.7740669349089381
pvalue_District_12,3.562320703793653e-07,3.848568456165753e-71,5.958313935889093e-09,0.0076565069153819755,3.2680744858308674e-27,3.49094578800009e-20,1.0238559270231338e-23,9.362093201752696e-17,1.5165634456170367e-28,2.3723045663129007e-21,6.244458554613087e-33,6.667678440480004e-10,5.216433014443159e-15,3.5595977505137055e-18,3.7958024460359977e-36,2.3082503486301614e-20,8.049720323730749e-07,1.1103438641368561e-10,4.545162053972639e-43,2.345862272173232e-44,3.6109909354668595e-15
pvalue_District_13,1.8841439294214662e-07,2.89878584552267e-13,8.609051207728954e-08,0.7067907328536036,5.4697131146437874e-14,2.4099202088479973e-11,1.884720791348504e-07,0.006145090470850695,5.145361034422078e-06,0.00036220604006954307,2.281781694458229e-46,8.058714438808815e-13,1.351082026569654e-32,2.4734408894581162e-30,9.329440136330181e-33,6.801708499042274e-13,7.221706801636089e-07,6.508872710606513e-05,6.305434453405858e-15,3.4216254071323315e-06,0.04981479713736936
pvalue_District_14,6.041355863749912e-21,1.4559112835799938e-43,1.4608483896964856e-40,2.4118360322906475e-36,2.7244005593554813e-05,1.9655435593935464e-51,1.352660068495706e-37,1.3374221435742234e-42,1.884502868647971e-67,1.4411461441861755e-29,5.25884386269559e-57,4.733954947344302e-16,2.3642880228868978e-18,3.630268017659551e-31,2.7502591910934303e-80,1.7417549191061885e-38,5.275400855087608e-24,1.063973073647756e-24,7.609624327552532e-120,7.686936554201099e-94,1.9130347534608378e-34
pvalue_District_15,3.3290662297079126e-05,3.1535653147520784e-06,0.0016206288606062593,0.4778844512393612,0.005325989040050899,2.9488554603764797e-07,0.35446070943199925,0.0923134065236133,4.879793745986959e-11,5.264632768813098e-07,1.8018649504802013e-22,1.9122797884716497e-07,0.013771655531439598,0.011413032386142363,1.2402209933557882e-13,4.970368105796286e-05,0.014575854940249076,5.665142108130053e-10,1.0435403842372342e-20,1.5987340903861185e-18,2.5805870208492225e-09
pvalue_District_16,3.8101119587563094e-14,1.358071146379041e-33,2.013487052624016e-24,1.8404846787628328e-16,2.3561942838486733e-47,1.5789598889101798e-44,3.666745491868134e-46,1.3408198459290424e-35,1.5059627381329408e-52,4.105905416359929e-54,9.686416809458577e-43,2.0494884330788673e-20,1.0820231623889246e-14,7.745486304622994e-29,5.616627291888204e-50,5.125499300011895e-33,1.6747561408756487e-26,4.719047758586403e-20,8.567092473786473e-56,1.7171810560428707e-67,1.9382301763824572e-36
pvalue_District_17,1.9457318349497538e-29,9.17910139519119e-59,3.2345739028519344e-60,1.113883362642495e-40,8.313250521207466e-65,7.400070901960122e-81,5.6034750668623e-82,1.467257481940399e-114,2.0010675517654918e-141,2.343708617485711e-186,3.652428991204771e-195,3.6326364531890983e-84,1.99713980536837e-69,1.0141239643988763e-106,5.949205107041415e-129,4.798559683164501e-94,8.071440956006704e-84,4.317404797487152e-83,5.967050731112785e-213,3.082809834322482e-210,5.308052409965855e-106
